type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
W,59.159862000,17.645480700,,29.4,,,,,Sydgatan 5, Södertälje,
W,59.157811300,17.658795800,,9.5,,,,,Glashyttans Värdshus, Badvägen 31, 151 38 Södertälje,
,,,,,,,,,,
type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,59.160480000,17.657430000,30,17.4,180.0,-12.9,2.061,4.46,,
T,59.160440000,17.657430000,30,16.8,180.0,-12.9,2.065,4.46,,
T,59.160400000,17.657430000,30,16.3,180.0,-12.9,2.070,4.46,,
T,59.160360000,17.657440000,30,15.8,172.7,-11.2,2.074,4.49,,
T,59.160320000,17.657450000,30,15.2,172.7,-11.2,2.079,4.49,,
T,59.160290000,17.657470000,30,15.0,161.1,-8.2,2.082,3.53,,
T,59.160250000,17.657500000,30,14.7,159.0,-5.4,2.087,4.78,,
T,59.160210000,17.657530000,30,14.6,159.0,-2.8,2.092,4.78,,
T,59.160180000,17.657560000,30,14.5,152.9,-1.3,2.095,3.76,,
T,59.160130000,17.657610000,30,14.4,152.9,-2.2,2.102,6.26,,
T,59.160090000,17.657660000,30,14.3,147.3,-1.3,2.107,5.30,,
T,59.159940000,17.657830000,30,14.1,149.8,-1.1,2.126,19.33,,
T,59.159810000,17.657970000,30,14.2,151.1,0.9,2.143,16.55,,
T,59.159600000,17.658190000,30,14.3,151.8,0.3,2.169,26.56,,
T,59.159520000,17.658300000,30,14.4,144.8,0.7,2.180,10.91,,
T,59.159520000,17.658300000,30,14.4,144.8,,2.180,0.00,,
T,59.159400000,17.658450000,30,14.3,147.3,-0.8,2.196,15.89,,
T,59.159140000,17.658820000,30,14.7,143.9,1.1,2.232,35.87,,
T,59.158860000,17.659200000,30,14.0,145.2,-1.7,2.270,38.02,,
T,59.158740000,17.659380000,30,14.2,142.4,1.3,2.287,16.87,,
T,59.158710000,17.659450000,30,14.4,129.9,2.4,2.292,5.22,,
T,59.158690000,17.659490000,30,14.3,134.3,-2.3,2.295,3.19,,
T,59.158680000,17.659580000,30,14.2,102.2,-0.7,2.301,5.27,,
T,59.158680000,17.659580000,30,14.2,102.2,,2.301,0.00,,
T,59.157810000,17.659630000,30,14.5,178.3,0.2,2.398,96.96,,
